PANGO	REPO	MILESTONE	ISSUE	LABELS	STATE	REASON	UNALIASED
LF.9.1	sars-cov-2-variants/lineage-proposals	591	1718	S:185, S:60, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.16.1.9.1
JN.1.16.2	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.16.2
LA.1	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.16.2.1
LA.2	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.16.2.2
JN.1.16.4	sars-cov-2-variants/lineage-proposals	558	1702	S:456, Triple Nucleotides mutations, S:493, S:31	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.16.4
MT.1	sars-cov-2-variants/lineage-proposals	558	1702	S:456, Triple Nucleotides mutations, S:493, S:31	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.16.4.1
JN.1.16.5	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.16.5
JN.1.18	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18
JN.1.18.1	sars-cov-2-variants/lineage-proposals	431	1414	designated, S:346, JN.1, S:250	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.1
LQ.1	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.1.1
LQ.1.1	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.1.1.1
LQ.2	sars-cov-2-variants/lineage-proposals	431	1414	designated, S:346, JN.1, S:250	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.1.2
JN.1.18.2	sars-cov-2-variants/lineage-proposals	441	1441	Convergent evolution, designated, S:346, S:59	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.2
LZ.2	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.2.2
JN.1.18.3	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.3
MA.1	sars-cov-2-variants/lineage-proposals	511	1635	To be proposed, designated, S:190, N Glycan, DeFViRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.3.1
MA.1.1	sars-cov-2-variants/lineage-proposals	556	1761	Apparently slow, designated, S:445, S:190, S:780, S:146, DeFViRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.3.1.1
MA.1.1.1	sars-cov-2-variants/lineage-proposals	556	1761	Apparently slow, designated, S:445, S:190, S:780, S:146, DeFViRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.3.1.1.1
JN.1.18.4	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.4
JN.1.18.5	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.5
MN.1	sars-cov-2-variants/lineage-proposals	528	1685	S:346, S:174, S:22, S:80, S:59, S:1260, S:689	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.18.7.1
JN.1.2	sars-cov-2-variants/lineage-proposals	267	1087	designated, BA.2.86, S:1229, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.2
JN.1.2.1	sars-cov-2-variants/lineage-proposals	409	1322	designated, S:1229, JN.1, S:1101	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.2.1
JN.1.21	sars-cov-2-variants/lineage-proposals	415	1162	To be proposed, Multiple lineages, designated, BA.2.86, JN.1, S:1058	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.21
JN.1.23	cov-lineages/pango-designation	845	2488		CLOSED	COMPLETED	B.1.1.529.2.86.1.1.23
JN.1.23.1	sars-cov-2-variants/lineage-proposals	486	1552	S:1264, NSP3, JN.1.23, S:137	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.23.1
JN.1.24.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.24.1
LM.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.25.1.1
JN.1.26	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.26
JN.1.27	sars-cov-2-variants/lineage-proposals	429	1403	designated, S:153, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.27
JN.1.28.1	sars-cov-2-variants/lineage-proposals	447	1244	Rapid review needed, S:456, designated, combo, PLPro, S:t572I	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.28.1
KW.1	sars-cov-2-variants/lineage-proposals	447	1244	Rapid review needed, S:456, designated, combo, PLPro, S:t572I	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.28.1.1
KW.1.1	sars-cov-2-variants/lineage-proposals	447	1244	Rapid review needed, S:456, designated, combo, PLPro, S:t572I	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.28.1.1.1
KW.1.1.1	sars-cov-2-variants/lineage-proposals	476	1504	designated, S:95, Convergent Trio 346/456/572, FLIRT combo	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.28.1.1.1.1
LG.1	sars-cov-2-variants/lineage-proposals	476	1504	designated, S:95, Convergent Trio 346/456/572, FLIRT combo	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.28.1.1.1.1.1
JN.1.29.1	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.29.1
JN.1.30.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.30.1
KU.2	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.30.1.2
JN.1.31	sars-cov-2-variants/lineage-proposals	432	1319	designated, Branch, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.31
JN.1.32.1	sars-cov-2-variants/lineage-proposals	456	1442	S:183, S:572	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.32.1
JN.1.35	sars-cov-2-variants/lineage-proposals	437	1362	designated, FCS, JN.1, S:680	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.35
JN.1.36	sars-cov-2-variants/lineage-proposals	443	1326	designated, s:677, FCS, JN.1, S:680	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.36
JN.1.36.1	sars-cov-2-variants/lineage-proposals	443	1326	designated, s:677, FCS, JN.1, S:680	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.36.1
JN.1.38.1	sars-cov-2-variants/lineage-proposals	567	1295	To be proposed, S:455, JN.1, S:35	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.38.1
JN.1.39.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.39.1
JN.1.39.3	sars-cov-2-variants/lineage-proposals	435	1395	To be proposed, Emerged in an undersampled area, High local prevalence, JN.1, S:67	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.39.3
JN.1.4	sars-cov-2-variants/lineage-proposals	378	987	Multiple lineages, designated, S:455, BA.2.86, Orf6, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4
JN.1.4.1	sars-cov-2-variants/lineage-proposals	408	1175	designated, S:654, BA.2.86, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.1
JN.1.4.2	cov-lineages/pango-designation	839	2462		CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.2
JN.1.4.2	sars-cov-2-variants/lineage-proposals	413	1180	To be proposed, designated, S:455, BA.2.86, S:185, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.2
LL.1	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.2.1
JN.1.4.3	sars-cov-2-variants/lineage-proposals	389	1097	To be proposed, Multiple lineages, partially designated, BA.2.86, S:572, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.3
JN.1.4.4	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.4
JN.1.4.5	sars-cov-2-variants/lineage-proposals	430	1171	To be proposed, designated, BA.2.86, JN.1	CLOSED	NOT_PLANNED	B.1.1.529.2.86.1.1.4.5
KV.2	sars-cov-2-variants/lineage-proposals	389	1097	To be proposed, Multiple lineages, partially designated, BA.2.86, S:572, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.5.2
JN.1.4.6	sars-cov-2-variants/lineage-proposals	389	1097	To be proposed, Multiple lineages, partially designated, BA.2.86, S:572, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.6
LE.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.7.1
LE.1.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.7.1.1
LE.1.3.1	sars-cov-2-variants/lineage-proposals	503	1612	designated, S:84, S:173, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.7.1.3.1
JN.1.4.8	sars-cov-2-variants/lineage-proposals	496	1495	To be proposed, designated, S:60	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.8
JN.1.4.9	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.4.9
JN.1.40	sars-cov-2-variants/lineage-proposals	442	1451	Emerged in an undersampled area, designated, S:31, S:58	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.40
JN.1.41	sars-cov-2-variants/lineage-proposals	444	1256	S:455, BA.2.86, JN.1, S:1252	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.41
JN.1.42.1	sars-cov-2-variants/lineage-proposals	451	1474	designated, S:59	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.42.1
MS.1	sars-cov-2-variants/lineage-proposals	560	1692	Emerged in an undersampled area, designated, S:346, S:31	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.42.2.1
JN.1.44	sars-cov-2-variants/lineage-proposals	378	987	Multiple lineages, designated, S:455, BA.2.86, Orf6, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.44
JN.1.47.1	sars-cov-2-variants/lineage-proposals	457	1318	Apparently slow, designated, S:455, JN.1, S:221	CLOSED	NOT_PLANNED	B.1.1.529.2.86.1.1.47.1
JN.1.47.2	sars-cov-2-variants/lineage-proposals	389	1097	To be proposed, Multiple lineages, partially designated, BA.2.86, S:572, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.47.2
JN.1.48.1	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.48.1
JN.1.48.2	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.48.2
JN.1.48.3	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.48.3
MB.1.1	sars-cov-2-variants/lineage-proposals	512	1659	designated, s:182, S:31, S:22, FViRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.49.1.1.1
JN.1.5	cov-lineages/pango-designation	829	2419		CLOSED	COMPLETED	B.1.1.529.2.86.1.1.5
JN.1.5	sars-cov-2-variants/lineage-proposals	381	1143	High local prevalence, designated, Double Nuc mutations, BA.2.86, JN.1, NSP13	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.5
ME.1	sars-cov-2-variants/lineage-proposals	518	1657	S:346, JN.1.50	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.50.2.1
JN.1.55.1	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.55.1
JN.1.55.2	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.55.2
JN.1.57.1	sars-cov-2-variants/lineage-proposals	497	1460	designated, S:60	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.57.1
JN.1.6.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.6.1
JN.1.62	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.62
JN.1.63	sars-cov-2-variants/lineage-proposals	532	1513	Apparently slow, designated, S:153, S:680	CLOSED	NOT_PLANNED	B.1.1.529.2.86.1.1.63
JN.1.63.1	sars-cov-2-variants/lineage-proposals	532	1513	Apparently slow, designated, S:153, S:680	CLOSED	NOT_PLANNED	B.1.1.529.2.86.1.1.63.1
JN.1.65	sars-cov-2-variants/lineage-proposals	389	1097	To be proposed, Multiple lineages, partially designated, BA.2.86, S:572, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.65
JN.1.67.1	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.67.1
JN.1.7	sars-cov-2-variants/lineage-proposals	389	1097	To be proposed, Multiple lineages, partially designated, BA.2.86, S:572, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.7
JN.1.7.1	sars-cov-2-variants/lineage-proposals	420	1371	designated, S:346, S:572, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.7.1
JN.1.7.3	sars-cov-2-variants/lineage-proposals	452	1343	S:346, S:455, S:572, JN.1, S:680	CLOSED	NOT_PLANNED	B.1.1.529.2.86.1.1.7.3
JN.1.7.4	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.7.4
JN.1.7.5	sars-cov-2-variants/lineage-proposals	483	1374	S:572, JN.1, Lineage defining mutation further mutated, NSP5	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.7.5
LK.1	sars-cov-2-variants/lineage-proposals	483	1374	S:572, JN.1, Lineage defining mutation further mutated, NSP5	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.7.5.1
LK.2.1	sars-cov-2-variants/lineage-proposals	517	1679	S:346, S:455, S:572, 2nuc mutation, S:1150, S:547	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.7.5.2.1
MQ.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.7.8.1
MQ.2	sars-cov-2-variants/lineage-proposals	543	1822	S:456, Emerged in an undersampled area, High local prevalence, designated, ORF9b, S:572, Deletions between S:180-190, s:678	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.7.8.2
JN.1.7.9	sars-cov-2-variants/lineage-proposals	424	1253	S:456, Multiple lineages, designated, S:455, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.7.9
JN.1.8.1	sars-cov-2-variants/lineage-proposals	389	1097	To be proposed, Multiple lineages, partially designated, BA.2.86, S:572, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.8.1
JN.1.8.2	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.8.2
JN.1.9	cov-lineages/pango-designation	833	2410		CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9
JN.1.9	sars-cov-2-variants/lineage-proposals	387	1096	designated, BA.2.86, S:183, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9
JN.1.9.1	sars-cov-2-variants/lineage-proposals	389	1097	To be proposed, Multiple lineages, partially designated, BA.2.86, S:572, JN.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.1
LB.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.2.1
LB.1.2.1	sars-cov-2-variants/lineage-proposals	498	1559	recombinant, S:190, S:1104, KP.2, DeFLiRT, KP.3, LB.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.2.1.2.1
LB.1.2.2	sars-cov-2-variants/lineage-proposals	538	1792	Emerged in an undersampled area, designated, LB.1, FULL QUAD	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.2.1.2.2
LB.1.2.3	sars-cov-2-variants/lineage-proposals	539	1730	Small clusters ??, designated, S:704, N Glycan, DeFLiRT, S:175, S:282	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.2.1.2.3
LB.1.3.1	sars-cov-2-variants/lineage-proposals	509	1620	S:445, DeFLiRT, LB.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.2.1.3.1
LB.1.3.3	sars-cov-2-variants/lineage-proposals	547	1717	designated, s:182, S:183, S:148, DeFLiRT	OPEN	REOPENED	B.1.1.529.2.86.1.1.9.2.1.3.3
LB.1.4.3	sars-cov-2-variants/lineage-proposals	590	1911	designated, LB.1, S:845	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.2.1.4.3
LB.1.5	sars-cov-2-variants/lineage-proposals	489	1557	designated, 2nuc mutation, s:1143, DeFLiRT, LB.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.2.1.5
LB.1.7.1	sars-cov-2-variants/lineage-proposals	530	1641	Rapid review needed, designated, S:183, S:148, DeFLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.2.1.7.1
LB.1.7.3	sars-cov-2-variants/lineage-proposals	531	1555	Apparently slow, designated, NSP3, DeFLiRT, LB.1, S:34	CLOSED	NOT_PLANNED	B.1.1.529.2.86.1.1.9.2.1.7.3
LB.1.9	sars-cov-2-variants/lineage-proposals	583	1874	S:478, Reversions, designated, LB.1	CLOSED	COMPLETED	B.1.1.529.2.86.1.1.9.2.1.9
JN.10	sars-cov-2-variants/lineage-proposals	234	954	Multiple lineages, designated, partially designated, S:475, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.10
JN.11	sars-cov-2-variants/lineage-proposals	404	1303	Emerged in an undersampled area, designated, S:455, partially designated, BA.2.86, S:1104, JN.1 Spike	CLOSED	COMPLETED	B.1.1.529.2.86.1.11
JN.11.1	sars-cov-2-variants/lineage-proposals	404	1303	Emerged in an undersampled area, designated, S:455, partially designated, BA.2.86, S:1104, JN.1 Spike	CLOSED	COMPLETED	B.1.1.529.2.86.1.11.1
JN.12	sars-cov-2-variants/lineage-proposals	405	1102	S:456, Apparently slow, designated, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.12
JN.13.1	sars-cov-2-variants/lineage-proposals	427	1386	designated, S:475, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.13.1
JN.14	sars-cov-2-variants/lineage-proposals	450	1182	designated, FCS, BA.2.86, S:680	CLOSED	COMPLETED	B.1.1.529.2.86.1.14
JN.2	sars-cov-2-variants/lineage-proposals	147	767	designated, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.2
JN.2.2	cov-lineages/pango-designation	832	2433		CLOSED	COMPLETED	B.1.1.529.2.86.1.2.2
JN.2.2	sars-cov-2-variants/lineage-proposals	384	1179	designated, BA.2.86, S:572, NSP6	CLOSED	COMPLETED	B.1.1.529.2.86.1.2.2
JN.2.3	cov-lineages/pango-designation	830	2442		CLOSED	COMPLETED	B.1.1.529.2.86.1.2.3
JN.2.3	sars-cov-2-variants/lineage-proposals	391	1181	designated, BA.2.86, S:193	CLOSED	COMPLETED	B.1.1.529.2.86.1.2.3
JN.2.5	sars-cov-2-variants/lineage-proposals	383	1173	designated, S:455, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.2.5
JN.3	sars-cov-2-variants/lineage-proposals	148	892	Mutations outside spike, designated, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.3
JN.3.2	cov-lineages/pango-designation	837	2445		CLOSED	COMPLETED	B.1.1.529.2.86.1.3.2
JN.3.2	sars-cov-2-variants/lineage-proposals	403	1160	S:456, designated, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.3.2
JN.3.2.1	cov-lineages/pango-designation	837	2445		CLOSED	COMPLETED	B.1.1.529.2.86.1.3.2.1
JN.3.2.1	sars-cov-2-variants/lineage-proposals	403	1160	S:456, designated, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.3.2.1
JN.4	sars-cov-2-variants/lineage-proposals	221	1009	designated, S:475, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.4
JN.5.1	sars-cov-2-variants/lineage-proposals	234	954	Multiple lineages, designated, partially designated, S:475, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.1.5.1
JN.7	sars-cov-2-variants/lineage-proposals	230	856	designated, BA.2.86, S:594	CLOSED	COMPLETED	B.1.1.529.2.86.1.7
BA.2.86.2	sars-cov-2-variants/lineage-proposals	146	756	designated, BA.2.86	CLOSED	COMPLETED	B.1.1.529.2.86.2
JQ.1	sars-cov-2-variants/lineage-proposals	144	906	designated, BA.2.86, S:95	CLOSED	COMPLETED	B.1.1.529.2.86.3.1
JQ.2	sars-cov-2-variants/lineage-proposals	426	1373	designated, S:346, S:455, BA.2.86, JN.1 Spike	CLOSED	COMPLETED	B.1.1.529.2.86.3.2
JQ.2.1	sars-cov-2-variants/lineage-proposals	426	1373	designated, S:346, S:455, BA.2.86, JN.1 Spike	CLOSED	COMPLETED	B.1.1.529.2.86.3.2.1
JQ.2.1.1	sars-cov-2-variants/lineage-proposals	425	1089	Multiple lineages, designated, S:346, partially designated, JN.1, FLiRT	CLOSED	COMPLETED	B.1.1.529.2.86.3.2.1.1
BA.2.86.4	sars-cov-2-variants/lineage-proposals	233	1032	designated, BA.2.86, S:222	CLOSED	COMPLETED	B.1.1.529.2.86.4
MP.1	sars-cov-2-variants/lineage-proposals	554	1782	designated, S:346, BA.2.86, S:487, S:348	CLOSED	NOT_PLANNED	B.1.1.529.2.86.7.1
MP.1.1	sars-cov-2-variants/lineage-proposals	554	1782	designated, S:346, BA.2.86, S:487, S:348	CLOSED	NOT_PLANNED	B.1.1.529.2.86.7.1.1
BA.2.9	cov-lineages/pango-designation	236	432	designated	CLOSED	COMPLETED	B.1.1.529.2.9
BA.2.9.1	cov-lineages/pango-designation	250	530	designated	CLOSED	COMPLETED	B.1.1.529.2.9.1
BA.2.9.3	cov-lineages/pango-designation	304	630	designated	CLOSED	COMPLETED	B.1.1.529.2.9.3
BA.2.9.4	cov-lineages/pango-designation	310	635	designated	CLOSED	COMPLETED	B.1.1.529.2.9.4
BA.2.9.6	cov-lineages/pango-designation	393	671	designated	CLOSED	COMPLETED	B.1.1.529.2.9.6
BA.2.9.7	cov-lineages/pango-designation	529	864	designated, BA.2	CLOSED	COMPLETED	B.1.1.529.2.9.7
BA.3	cov-lineages/pango-designation	198	367	designated	CLOSED	COMPLETED	B.1.1.529.3
BA.3.1	cov-lineages/pango-designation	276	540	designated, accepted	CLOSED	COMPLETED	B.1.1.529.3.1
BA.4	cov-lineages/pango-designation	248	517	accepted	CLOSED	COMPLETED	B.1.1.529.4
BA.4.1	cov-lineages/pango-designation	296	548	designated	CLOSED	COMPLETED	B.1.1.529.4.1
BA.4.1.1	cov-lineages/pango-designation	325	667	designated	CLOSED	COMPLETED	B.1.1.529.4.1.1
BA.4.1.11	cov-lineages/pango-designation	643	1606	designated, BA.4	CLOSED	COMPLETED	B.1.1.529.4.1.11
BA.4.1.2	cov-lineages/pango-designation	338	614	designated	CLOSED	COMPLETED	B.1.1.529.4.1.2
BA.4.1.8	cov-lineages/pango-designation	382	800	designated	CLOSED	COMPLETED	B.1.1.529.4.1.8
BA.4.1.9	cov-lineages/pango-designation	426	926	designated, BA.4	CLOSED	COMPLETED	B.1.1.529.4.1.9
BA.4.6	cov-lineages/pango-designation	361	741	designated	CLOSED	COMPLETED	B.1.1.529.4.6
BA.4.6.1	cov-lineages/pango-designation	437	900	designated, BA.4	CLOSED	COMPLETED	B.1.1.529.4.6.1
BA.4.6.2	cov-lineages/pango-designation	492	1198	designated, BA.4	CLOSED	COMPLETED	B.1.1.529.4.6.2
BA.4.6.3	cov-lineages/pango-designation	494	1195	monitor, recommended, BA.4	CLOSED	COMPLETED	B.1.1.529.4.6.3
BA.4.7	cov-lineages/pango-designation	366	777	designated	CLOSED	COMPLETED	B.1.1.529.4.7
BA.4.8	cov-lineages/pango-designation	412	670	designated	CLOSED	COMPLETED	B.1.1.529.4.8
BA.5	cov-lineages/pango-designation	248	517	accepted	CLOSED	COMPLETED	B.1.1.529.5
BK.1	cov-lineages/pango-designation	402	901	designated	CLOSED	COMPLETED	B.1.1.529.5.1.10.1
BA.5.1.11	cov-lineages/pango-designation	404	908	designated	CLOSED	COMPLETED	B.1.1.529.5.1.11
BA.5.1.12	cov-lineages/pango-designation	420	902	designated, BA.5	CLOSED	COMPLETED	B.1.1.529.5.1.12
BA.5.1.13	cov-lineages/pango-designation	415	955	designated, BA.5	CLOSED	COMPLETED	B.1.1.529.5.1.13
DL.1	cov-lineages/pango-designation	644	1376	designated, BA.5	CLOSED	COMPLETED	B.1.1.529.5.1.15.1
BA.5.1.18	cov-lineages/pango-designation	427	930	designated, BA.5	CLOSED	COMPLETED	B.1.1.529.5.1.18
BA.5.1.19	cov-lineages/pango-designation	436	999	designated, BA.5	CLOSED	COMPLETED	B.1.1.529.5.1.19
